City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,callao,-12.0667,-77.15,19.29,88,75,3.6,PE,1732781904
344,kokpekty,48.75,82.4,-4.49,77,0,1.64,KZ,1732781905
345,aznalcollar,37.5491,-6.3166,11.63,89,72,2.7,ES,1732781906
346,naze,28.3667,129.4833,16.14,55,49,6.0,JP,1732781623
347,cruzeiro do sul,-29.5128,-51.9853,22.5,96,100,1.56,BR,1732781908
348,huarmey,-10.0681,-78.1522,19.25,86,100,2.82,PE,1732781909
349,howard springs,-12.497,131.047,24.95,56,99,1.91,AU,1732781910
350,ebon,4.582,168.6964,28.06,79,27,5.92,MH,1732781911
351,badger,64.8,-147.5333,-26.86,78,75,0.0,US,1732781912
352,kindu,-2.95,25.95,26.79,66,94,1.16,CD,1732781913
353,ceeldheer,3.8488,47.1806,29.99,60,100,5.23,SO,1732781914
354,nova sintra,14.8667,-24.7167,25.19,75,7,7.52,CV,1732781915
355,box elder,41.5005,-112.8764,0.92,65,6,0.35,US,1732781916
356,vanino,49.0869,140.2543,-0.92,86,99,1.87,RU,1732781917
357,jose pedro varela,-33.45,-54.5333,14.4,92,0,3.11,UY,1732781919
358,rikaze,29.25,88.8833,5.61,18,0,2.49,CN,1732781921
359,westerland,54.9079,8.3033,6.01,87,20,9.26,DE,1732781922
360,puerto francisco de orellana,-0.4667,-76.9667,21.53,99,100,0.91,EC,1732781923
361,sodo,6.8642,37.7628,21.48,45,18,2.73,ET,1732781924
362,buba,11.5833,-15.0,23.05,88,21,1.06,GW,1732781925
363,pisco,-13.7,-76.2167,19.03,88,0,4.12,PE,1732781927
